,Kod,Popis,Typ
194,1.1.16.4.2,Zdvih pístu nebo membrány je nadměrný a neumožňuje vyvinout dostatečnou brzdnou sílu na kole.,C
195,1.1.16.4.3,Nedostatečný zdvih pístu nebo membrány brzdového válce způsobuje trvalé přibrzďování kola.,C
196,1.1.16.5.1,"Některá prachovka brzdového válce / válečkuje poškozená, ale plní svoji funkci.",A
197,1.1.16.5.2,"Některá prachovka brzdového válce / válečku chybí nebo je poškozená tak, že neplní svoji funkci.",B
198,1.1.16.6,"Některá vratná pružina brzdového válce, je-li vyžadována, chybí nebo je vadná (např. prasklá, vytahaná).",B
199,1.1.17.1.1,"Ovládací páky, lana nebo pružiny AZR / omezovače brzdného účinku jsou poškozené nebo nadměrně zkorodované.",B
200,1.1.17.1.2,"Spojení táhel, lan nebo pákoví AZR / omezovače brzdného účinku a jejich zajištění je poškozené, uvolněné nebo není spolehlivé nebo spojení neodpovídá požadavkům.",B
201,1.1.17.1.3,"Ovládací lano AZR / omezovače brzdného účinku je přetržené nebo lano, páky nebo pružiny jsou natolik poškozeny nebo zkorodovány, že AZR / omezovač brzdného účinku neplní svoji funkci.",C
202,1.1.17.2.1,"U vozidla vybaveného funkčním systémem ABS, které není určeno k tažení přípojných vozidel (mimo kategorii 02), nesprávně seřízené pákoví AZR / omezovače brzdného účinku způsobuje nedostatečný nebo nadměrný brzdný účinek kol nápravy / náprav u vozidla.",B
203,1.1.17.2.2,Nesprávně seřízené pákoví AZR / omezovače brzdného účinku v závislosti na zatížení vozidla způsobuje nedostatečný nebo nadměrný brzdný účinek kol nápravy / náprav.,C
204,1.1.17.3.1,"U vozidla vybaveného funkčním systémem ABS, které není určeno k tažení přípojných vozidel (mimo kategorii 02), nefunkční AZR (páka zadřená v poloze pro naložené vozidlo) způsobuje nadměrný brzdný účinek kol nápravy / náprav u vozidla v nenaloženém stavu.",B
205,1.1.17.3.2,Ručně ovládaný zátěžový regulátor přípojného vozidla traktoru nelze ovládat.,B
206,1.1.17.3.3,AZR / omezovač brzdného účinku není zjevně funkční.,C
207,1.1.17.4,AZR/omezovač brzdného účinku zjevně demontován - nepřípustný zásah do brzdového systému.,C
208,1.1.17.5,"Štítek s údaji pro seřízení AZR, je-li vyžadován, chybí.",A
209,1.1.17.6,Údaje na štítku pro seřízení AZR nečitelné nebo nejsou v souladu s požadavky.,A
210,1.1.18.1.1,Mechanismus ovládání pák brzdových klíčů poškozený nebo nadměrně opotřebený.,B
211,1.1.18.1.2,Po odbrzdění se nevrací některý brzdový klíč na nápravě do původní polohy (výrazný rozdíl).,B
212,1.1.18.1.3,"Zadření mechanismu ovládání pák brzdových klíčů způsobuje, že po odbrzdění se nevrací některý brzdový klíč do původní polohy a kolo trvalé přibrzďuje.",C
213,1.1.18.2,Výrazný rozdíl zdvihu pák brzdových klíčů na nápravě nebo seřízení zdvihu pák brzdových klíčů neodpovídá požadavkům výrobce.,B
214,1.1.18.3.1,Mechanismus zařízení k automatickému seřizování pák brzdových klíčů je nadměrně opotřebený.,B
215,1.1.18.3.2,"Zařízení k automatickému seřizování pák brzdových klíčů jev natolik zhoršeném technickém stavu, (např. nadměrně opotřebené, poškozené), že není funkční nebo nefunguje správně.",C
216,1.1.18.4.1,"Uchycení, spojení a zajištění jednotlivých částí mechanismu ovládání pák brzdových klíčů vadné nebo není spolehlivé nebo neodpovídá požadavkům.",B
217,1.1.18.4.2,Nesprávná montáž nebo změna mechanismu ovládání pák brzdových klíčů nebo zařízení k automatickému seřizování má vliv na brzdný účinek.,B
218,1.1.19.1.1,"V systému odlehčovací brzdy některý spoj uvolněný, ale tato závada nemá vliv na funkci nebo spolehlivost systému.",A
219,1.1.19.1.2,Montáž systému odlehčovací brzdy vadná nebo některý spoj v systému odlehčovací brzdy uvolněný a tato závada má vliv na funkci nebo spolehlivost systému.,B
220,1.1.19.2,"Systém odlehčovací brzdy je zjevně vadný nebo je-li vyžadován, chybí.",B
221,1.1.20.1,Brzda přípojného vozidla se automaticky neuvede v činnost po rozpojení spojení.,C
222,1.1.21.1.1,"Vnější poškození jiných zařízení brzdového systému (protizámrazové čerpadlo, vysoušeč vzduchu apod.) nebo povrchová koroze, která nemá vliv na funkci nebo spolehlivost brzdového systému.",A
223,1.1.21.1.2,"Poškození jiných zařízení brzdového systému (protizámrazové čerpadlo, vysoušeč vzduchu apod.) nebo nadměrná koroze, které může nepříznivě ovlivnit funkci nebo spolehlivost brzdového systému.",B
224,1.1.21.1.3,"Poškození jiných zařízení brzdového systému (protizámrazové čerpadlo, vysoušeč vzduchu apod.), které bezprostředně ohrožuje funkci brzdového systému.",C
225,1.1.21.2.1,Únik nemrznoucí směsi.,A
226,1.1.21.2.2,"Slyšitelný únik vzduchu z jiných zařízení brzdového systému (protizámrazové čerpadlo, vysoušeč vzduchu apod.).",B
227,1.1.21.2.3,"Únik vzduchu z jiných zařízení brzdového systému (protizámrazové čerpadlo, vysoušeč vzduchu apod.), který způsobuje znatelný pokles tlaku vzduchu v brzdovém systému.",C
228,1.1.21.3,"Uchycení jiných zařízení brzdového systému (protizámrazové čerpadlo, vysoušeč vzduchu apod.), je uvolněné nebo poškozené nebo neodpovídá požadavkům.",B
229,1.1.21.4.1,"Nebezpečná úprava jakékoli součásti brzdového systému, která není v souladu s požadavky výrobce.",B
230,1.1.21.4.2,"Jakýkoliv nepovolený zásah do brzdového systému (demontáž, vyřazení z činnosti apod.) nebo neschválená změna brzdového systému.",C
231,1.1.22.1,"Přípojky pro kontrolu tlaku v brzdové soustavě, jsou-li vyžadovány, chybí nebo neodpovídají požadavkům.",B
232,1.1.22.2,Přípojky pro kontrolu tlaku v brzdové soustavě poškozené nebo nepoužitelné nebo netěsné.,B
233,1.1.23.1,"Nájezdová brzda je natolik poškozená, že není funkční.",C
234,1.1.23.2,Nedostatečná účinnost nájezdové brzdy.,B
235,1.2.1.1.1,Nedostatečná brzdná síla na jednom nebo více kolech.,B
236,1.2.1.1.2,Žádná brzdná síla na jednom nebo více kolech,C
237,1.2.1.2.2,Rozdíl brzdných sil (při brždění nebo odbrzdění) na kolech téže nápravy je větší než 30 %. V případě jízdní zkoušky se vozidlo nadměrně vychyluje z přímého směru.,C
238,1.2.1.3.1,Účinek brzd není spojitě odstupňovaný.,B
239,1.2.1.3.2,"Vadná odstupňovatelnost brzd ovlivňuje jízdní vlastnosti vozidla natolik, zeje bezprostředně ohrožena bezpečnost jízdy vozidla.",C
240,1.2.1.4,Nadměrná prodleva brzdného účinku na některém kole.,B
241,1.2.1.5,Kolísání brzdné síly v průběhu každého úplného otočení kola na válcové zkušebně brzd přesahuje o více jak ± 10 % střední hodnoty brzdné síly odečtené z brzdové charakteristiky brzdy.,B
242,1.2.2.1,Vozidlo nedosahuje předepsaného brzdného účinku pro provozní brždění.,C
243,1.2.2.2,Nelze ověřit předepsaný brzdný účinek pro provozní brždění (předčasný blok některého kola nápravy z důvodu nedostatečného zatížení vozidla).,B
244,1.3.1.1.1,Nedostatečná brzdná síla na jednom nebo více kolech.,B
245,1.3.1.1.2,Žádná brzdná síla na jednom nebo více kolech,C
246,1.3.1.2.2,Rozdíl brzdných sil (při brždění nebo odbrzdění) na kolech téže nápravy je větší než 30 %. V případě jízdní zkoušky se vozidlo nadměrně vychyluje z přímého směru.,C
247,1.3.1.3.1,Účinek nouzové brzdy není spojitě odstupňovaný.,B
248,1.3.1.3.2,"Vadná odstupňovatelnost nouzové brzdy ovlivňuje jízdní vlastnosti vozidla natolik, zeje bezprostředně ohrožena bezpečnost jízdy vozidla.",C
249,1.3.2.1.1,Nelze ověřit předepsaný brzdný účinek pro nouzové brždění (předčasný blok některého kola nápravy z důvodu nedostatečného zatížení vozidla).,B
250,1.3.2.1.2,Vozidlo nedosahuje předepsaného brzdného účinku pro nouzové brždění (50 % provozního brždění).,C
251,1.4.1.1.1,Parkovací brzda na některém z kol vozidla není funkční.,B
252,1.4.1.1.2,"Žádné z kol vozidla, ovládané parkovací brzdou není funkční.",C
253,1.4.2.1.1,"Některé z kol vozidla, ovládané parkovací brzdou, nedosahuje požadovaného brzdného účinku.",B
254,1.4.2.1.2,"Žádné z kol vozidla, ovládané parkovací brzdou, nedosahuje požadovaného brzdného účinku.",C
255,1.5.1,Účinek systému odlehčovací brzdy nelze odstupňovat.,B
256,1.5.2,Systém odlehčovací brzdy nefunguje.,B
257,1.6.1,Vadná funkce výstražné signalizace systému ABS.,B
258,1.6.2,Výstražná signalizace ukazuje nesprávnou funkci systému ABS.,B
259,1.6.3,"Čidlo otáčení kol systému ABS nevhodně uchycené nebo poškozené tak, že neplní svoji funkci (např. přetržený elektrický kabel) nebo chybí.",B
260,1.6.4,"Elektrické kabely systému ABS jsou poškozené tak, že nejsou funkční nebo chybí.",B
261,1.6.5,"Jiné části systému ABS chybí nebojsou poškozené tak, zeje systém ABS nefunkční nebo byl systém ABS z vozidla demontován.",B
262,1.6.6,Elektrické ovládací vedení (propojení) systému ABS mezi tažným a přípojným vozidlem chybí nebo nefunguje nebo spojení vozidel neodpovídá požadavkům na zapojení vozidel do jízdních souprav s ohledem na kompatibilitu mezi tažným a přípojným vozidlem z hlediska sdělování dat (ABS).,B
263,1.7.1,Vadná funkce výstražné signalizace systému EBS.,B
264,1.7.2,Výstražná signalizace ukazuje nesprávnou funkci systému EBS.,B
265,1.7.3,"Je-li přípojné vozidlo vybaveno systémem EBS, chybí propojení systému EBS mezi tažným a přípojným vozidlem nebo elektrické ovládací vedení zjevně nefunguje.",C
266,1.8.1,Brzdová kapalina znečištěna nebo zakalena.,B
267,1.8.2,"Brzdová kapalina znečištěna nebo zakalena, bezprostřední riziko závady.",C
268,2.1.1.1.1,"Přenos ovládací síly v převodce řízení není rovnoměrný v celém rozsahu rejdu, v některé poloze natočení volantu (např. krajní) zjevně zvýšený odpor.",B
269,2.1.1.1.2,"Zvýšený odpor v převodu převodky řízení, ovládací síla na volant, která je nutná k natočení kol, zjevně překračuje stanovené hodnoty.",B
270,2.1.1.2,Opotřebené drážkování hřídele převodky řízení nebo jakákoliv vůle ve spojení hřídele převodky řízení s hlavní pákou řízení.,C
271,2.1.1.3.1,V převodu převodky řízení vůle větší než provozní.,B
272,2.1.1.3.2,"V převodu převodky řízení jsou natolik velké vůle, že je bezprostředně ohroženo bezpečné ovládání vozidla.",C
273,2.1.1.3.3,"Převod převodky řízení je v natolik zhoršeném technickém stavu (např. váznutí, přeskakování nebo převod není funkční v celém rozsahu rejdu), zeje bezprostředně ohroženo bezpečné ovládání vozidla.",C
274,2.1.1.4.1,V uložení hřídele (ložiska) nebo v uložení hřebenových tyčí (pouzdra) převodky řízení vůle větší než provozní.,B
275,2.1.1.4.2,"V uložení hřídele (ložiska) nebo v uložení ozubených tyčí (pouzdra) převodky řízení jsou natolik velké vůle, že je bezprostředně ohroženo bezpečné ovládání vozidla.",C
276,2.1.1.5.1,Netěsnost převodky řízení.,A
277,2.1.1.5.2,"Prachovka převodky řízení je prasklá, avšak nedochází k úniku maziva.",A
278,2.1.1.5.3,"Prachovka převodky řízení chybí nebo je chybně uchycená nebo poškozená tak, že neplní svoji funkci a dochází k úniku maziva.",B
279,2.1.1.5.4,Z převodky řízení odkapává mazivo.,B
280,2.1.1.6.1,"Kloubové nebo pružné spojení hřídele volantu s hřídelí převodky řízení je nadměrně opotřebované, nebo poškozené nebo spojovací prvky, je-li vyžadováno, nejsou viditelně zajištěny.",B
281,2.1.1.6.2,"Kloubové nebo pružné spojení hřídele volantu s hřídelí převodky řízení je v natolik zhoršeném technickém stavu (např. opotřebované nebo poškozené), zeje bezprostředně ohroženo bezpečné ovládání vozidla.",C
282,2.1.1.7.1,Nebezpečná úprava převodky řízení nebo spojení převodky řízení s hřídelí volantu nebo s hlavní pákou řízení.,B
283,2.1.1.7.2,"Nebezpečná úprava a převodky řízení nebo spojení převodky řízení s hřídelí volantu nebo s hlavní pákou řízení, která bezprostředně ohrožuje bezpečné ovládání vozidla.",C
284,2.1.2.1.1,Některý spoj upevnění převodky řízení je uvolněný.,B
285,2.1.2.1.2,Některý spoj upevnění převodky řízení je uvolněný a v důsledku toho se převodka řízení pohybuje.,C
286,2.1.2.2.1,Některý montážní otvor pro upevnění převodky řízení na podvozku nebo karosérii je zjevně vymačkaný nebo vytlučený.,B
287,2.1.2.2.2,Na podvozku nebo na karosérii je místo pro uložení převodky řízení prasklé (lože) a převodka řízení se v důsledku toho pohybuje.,C
288,2.1.2.3.1,Chybějící nebo utržený upevňovací šroub převodky řízení.,B
289,2.1.2.3.2,Chybějící nebo utržený upevňovací šroub a převodka řízení se v důsledku toho pohybuje.,C
290,2.1.2.4.1,Některý úchyt skříně převodky řízení je prasklý.,B
291,2.1.2.4.2,Některý úchyt skříně převodky řízení je prasklý a převodka řízení se v důsledku toho pohybuje.,C
292,2.1.3.1.1,"V pohyblivém spoji pákového mechanismu řízení (např. kulový čep, kloub, pouzdro) je větší vůle než montážní.",B
293,2.1.3.1.2,"V pohyblivém spoji pákového mechanismu řízení (např. kulový čep, kloub, pouzdro) jsou natolik velké vůle, že je bezprostředně ohrožena bezpečnost jízdy vozidla (nebezpečí rozpojení).",C
294,2.1.3.1.3,Vícenásobný počet větších vůlí (větší než montážní) v pohyblivých spojích pákového mechanismu řízení v konečném důsledku bezprostředně ohrožuje bezpečnost jízdy vozidla.,C
295,2.1.3.2.1,"Uvolněné nebo opotřebené spoje (např. uchycení čepu, spojení na spojovací nebo řídící tyči), které mají vliv na spolehlivost pákového mechanismu řízení.",B
296,2.1.3.2.2,Otvor pro uchycení čepu pákového mechanismu řízení zjevně vymačkaný.,B
297,2.1.3.2.3,"Uvolněné nebo nadměrně opotřebené spoje pákového mechanismu řízení (např. uchycení čepu, spojení na řídící nebo spojovací tyči), které bezprostředně ohrožují bezpečnost jízdy vozidla.",C
298,2.1.3.3.1,Zjevné ohnutí řídící nebo spojovací tyče řízení.,B
299,2.1.3.3.2,"Praskliny u jakékoli části pákového mechanismu řízení (čepy, páky, řídící nebo spojovací tyče) nebo deformace jakékoli části pákového mechanismu řízení (řídící nebo spojovací tyče), které bezprostředně ohrožují bezpečnost jízdy.",C
300,2.1.3.4,"Viditelné zajištění spojů u pákového mechanismu řízení, je-li vyžadováno, chybí nebo není funkční nebo není spolehlivé.",B
301,2.1.3.5,"Zjevně nesprávné seřízení částí pákového mechanismu řízení (např. příčné nebo podélné spojovací tyče řízení), které má vliv na provozní vlastnosti vozidla (jen u silniční kontroly).",B
302,2.1.3.6.1,"Nebezpečná úprava pákového mechanismu řízení, která má vliv na provozní vlastnosti vozidla nebo spolehlivost mechanismu řízení.",B
303,2.1.3.6.2,"Nebezpečná úprava pákového mechanismu řízení, která bezprostředně ohrožuje bezpečnost jízdy vozidla.",C
304,2.1.3.7.1,Prachovky pohyblivých spojů pákového mechanismu řízení jsou poškozené.,A
305,2.1.3.7.2,"Prachovky u pohyblivých spojů pákového mechanismu řízení chybí nebo jsou ve výrazně zhoršeném stavu, takže neplní svoji funkci.",B
